name,equipment_type,location,acquired
Betsy,hpc_laser,main_space,
Jaws,hpc_laser,main_space,
ABS_UM_1,ultimaker,main_space,
ABS_UM_2,ultimaker,main_space,
PLA_UM_1,ultimaker,main_space,
PLA_UM_2,ultimaker,main_space,
Formlabs_1,formone,main_space,
VF_1,vacuum_former,main_space,
cordless_1,cordless_drill,,
cnc_router_1,cnc_router,workshop,
metal_lathe_1,metal_lathe,workshop,
warco_mill_1,warco_mill,workshop,
model_mill_1,model_mill,main_space,
makespace_1,makespace,,
admin_database_1,makespace_admin_db,,
vinyl_cutter_1,vinyl_cutter,craft_room,
janome_423_1,janome_423,craft_room,
fine_metalwork_1,fine_metalwork,main_space,
glasswork_1,glasswork,main_space,
classroom_1,classroom,classroom,
soldering_stations_1,soldering_stations,main_space,
bike_repair_kit_1,bike_repair_kit,main_space,
reflow_oven_1,reflow_oven,main_space,
screen_printing_1,screen_printing,main_space,
bandsaw_1,bandsaw,workshop,
chopsaw_1,chopsaw,workshop,
belt_disc_sander_1,belt_disc_sander,workshop,
pillar_drill_1,pillar_drill,workshop,
tormek_1,tormek,workshop,
